prompt	answer
багтраагаа	багтраа <voc>
дэнсээс	дэнс <abl>
тархалтыг	тархалт <acc>
дуулийг	дууль <acc>
гуалингаар	гуалин <ins>
хурдны	хурд <gen>
шийдвэрлэгчээс	шийдвэрлэгч <abl>
сархадтай	сархад <com>
харьцуулалттай	харьцуулалт <com>
хөтчийг	хөтөч <acc>
нэхэмжлэгчээр	нэхэмжлэгч <ins>
сүсгээс	сүсэг <abl>
хүдрээ	хүдэр <voc>
өмгөөллөөс	өмгөөлөл <abl>
өргөрөгтэй	өргөрөг <com>
маскаас	маск <abl>
бослогоо	бослого <voc>
шуурганаас	шуурга <abl>
хуваагдлын	хуваагдал <gen>
мэдээний	мэдээ <gen>
тэнүүлээс	тэнүүл <abl>
үнэмшлээ	үнэмшил <voc>
шимтгэлээ	шимтгэл <voc>
ховсоос	ховс <abl>
тохиролцоог	тохиролцоо <acc>
элэгдлийг	элэгдэл <acc>
хэвлэгчийн	хэвлэгч <gen>
илээчээ	илээч <voc>
махчны	махчин <gen>
алиалагчаа	алиалагч <voc>
тунадаснаас	тунадас <abl>
зүйрлэлийн	зүйрлэл <gen>
нууцаар	нууц <ins>
клиникээс	клиник <abl>
голоо	гол <voc>
элчээ	элч <voc>
харуулын	харуул <gen>
ертөнцөөр	ертөнц <ins>
дуншилтын	дуншилт <gen>
аянгаар	аянга <ins>
чавгаар	чавга <ins>
үзүүлбэрийг	үзүүлбэр <acc>
язгуураас	язгуур <abl>
эмчийг	эмч <acc>
алдагдалд	алдагдал <dat>
улиралд	улирал <dat>
мужаанаа	мужаан <voc>
багшийн	багш <gen>
карантиныг	карантин <acc>
мэдрэмжээ	мэдрэмж <voc>
дуншилтаас	дуншилт <abl>
бэлээ	бэл <voc>
нохойтой	нохой <com>
зурхайгаар	зурхай <ins>
бэлгэдлээс	бэлгэдэл <abl>
ханиадаар	ханиад <ins>
боксыг	бокс <acc>
сандлын	сандал <gen>
хэрчдэсний	хэрчдэс <gen>
хэмжээгээр	хэмжээ <ins>
ойлголтоо	ойлголт <voc>
гарагт	гараг <dat>
мануухайг	мануухай <acc>
өвөө	өв <voc>
тоншуулаас	тоншуул <abl>
сүнсэнд	сүнс <dat>
тооцооны	тооцоо <gen>
илд	ил <dat>
тайрдсаа	тайрдас <voc>
үзлэгтэй	үзлэг <com>
хязгаарлалаа	хязгаарлал <voc>
авьяастанд	авьяастан <dat>
актад	акт <dat>
эрдэнэсийн	эрдэнэс <gen>
сүүнд	сүү <dat>
мэтгэлцээнийг	мэтгэлцээн <acc>
ёзоорын	ёзоор <gen>
хуулиар	хууль <ins>
сууриар	суурь <ins>
нягтаршилтай	нягтаршил <com>
хорвоод	хорвоо <dat>
дуудлагаар	дуудлага <ins>
сейфээс	сейф <abl>
нидрүүлэгтэй	нидрүүлэг <com>
түвшнээр	түвшин <ins>
гялтгануураа	гялтгануур <voc>
тээвэрт	тээвэр <dat>
нэвтрүүлэгчийн	нэвтрүүлэгч <gen>
заналхийлэлд	заналхийлэл <dat>
зоодойн	зоодой <gen>
жатгаар	жатга <ins>
эдэлгээг	эдэлгээ <acc>
хянагчаас	хянагч <abl>
глюкозоо	глюкоз <voc>
мөөгөнд	мөөг <dat>
борлуулалтад	борлуулалт <dat>
ичээний	ичээ <gen>
нээлттэй	нээлт <com>
микробиологио	микробиологи <voc>
соронзоо	соронз <voc>
ихсийг	ихэс <acc>
редактораа	редактор <voc>
горхио	горхи <voc>
оношинд	онош <dat>
шүүмжлэлд	шүүмжлэл <dat>
киноноос	кино <abl>
нүүрстөрөгчтэй	нүүрстөрөгч <com>
сануулгыг	сануулга <acc>
оролдлоготой	оролдлого <com>
булдруутай	булдруу <com>
сүрийг	сүр <acc>
молекултай	молекул <com>
саатлыг	саатал <acc>
зардлаа	зардал <voc>
тогтворыг	тогтвор <acc>
квадратаар	квадрат <ins>
ажиллагаагаар	ажиллагаа <ins>
оноотой	оноо <com>
үнээр	үнэ <ins>
ухагдахууныг	ухагдахуун <acc>
залгаврын	залгавар <gen>
огторгуйтай	огторгуй <com>
ногттой	ногт <com>
далайчнаас	далайчин <abl>
эрлийг	эрэл <acc>
усталтай	устал <com>
цэрдийг	цэрд <acc>
шумуулд	шумуул <dat>
намраар	намар <ins>
агшилтыг	агшилт <acc>
цулбуурын	цулбуур <gen>
хэмжээний	хэмжээ <gen>
явцаар	явц <ins>
зүлгүүртэй	зүлгүүр <com>
ангаахайнаас	ангаахай <abl>
зард	зар <dat>
жуулчныг	жуулчин <acc>
үзүүлбэрээр	үзүүлбэр <ins>
хүдрийг	хүдэр <acc>
цусаа	цус <voc>
яндангаас	яндан <abl>
мөгөөрсийг	мөгөөрс <acc>
ёроолоо	ёроол <voc>
өвлийн	өвөл <gen>
ижилслийн	ижилсэл <gen>
горимд	горим <dat>
гуугаар	гуу <ins>
хоцрогдлоор	хоцрогдол <ins>
жадны	жад <gen>
гамшгаа	гамшиг <voc>
луйврын	луйвар <gen>
ширгээс	ширэг <abl>
интернэтийг	интернет <acc>
заналхийллээс	заналхийлэл <abl>
хараалтай	хараал <com>
айлчлалыг	айлчлал <acc>
номлолтой	номлол <com>
бөмбөгөнд	бөмбөг <dat>
багшийг	багш <acc>
бөөлжсөөр	бөөлжис <ins>
хулуунаас	хулуу <abl>
нидрүүлгээс	нидрүүлэг <abl>
гялтгануураас	гялтгануур <abl>
хуурайг	хуурай <acc>
тороор	тор <ins>
туслагчаа	туслагч <voc>
хадаасыг	хадаас <acc>
уулчнаар	уулчин <ins>
дүнзээ	дүнз <voc>
шрифттэй	шрифт <com>
баатрыг	баатар <acc>
төсөөллөөр	төсөөлөл <ins>
ашиглалтаа	ашиглалт <voc>
алтаа	алт <voc>
цамхгийг	цамхаг <acc>
тооноос	тоо <abl>
гэргийд	гэргий <dat>
жатгатай	жатга <com>
тонуулаас	тонуул <abl>
няцаалтад	няцаалт <dat>
үндэсний	үндэс <gen>
эзлэгчээр	эзлэгч <ins>
тусгалыг	тусгал <acc>
дахилттай	дахилт <com>
цахлайгаар	цахлай <ins>
бэсрэгээ	бэсрэг <voc>
жаданд	жад <dat>
чангалуураас	чангалуур <abl>
зохиогчоор	зохиогч <ins>
талийгчаас	талийгч <abl>
ололтыг	ололт <acc>
ноогдолтой	ноогдол <com>
богцны	богц <gen>
төмрийг	төмөр <acc>
хандивын	хандив <gen>
хавсралтад	хавсралт <dat>
найдлагын	найдлага <gen>
банзлыг	банзал <acc>
тамхинаас	тамхи <abl>
тулгуурт	тулгуур <dat>
таглаагаа	таглаа <voc>
арьсанд	арьс <dat>
хөргүүрээр	хөргүүр <ins>
сурагчаас	сурагч <abl>
сэтгэлээс	сэтгэл <abl>
өөрчлөлөөс	өөрчлөл <abl>
мэргэтэй	мэргэ <com>
жилд	жил <dat>
тогтворжилтоор	тогтворжилт <ins>
загасчлалаас	загасчлал <abl>
цоргыг	цорго <acc>
оюутнаас	оюутан <abl>
шүүсийг	шүүс <acc>
зэвсгээс	зэвсэг <abl>
гялтгануурт	гялтгануур <dat>
уншигчийн	уншигч <gen>
томьёоноос	томьёо <abl>
торгуулиа	торгууль <voc>
шонг	шон <acc>
физиологийг	физиологи <acc>
бууриа	буурь <voc>
шийрт	шийр <dat>
хуурайн	хуурай <gen>
дүнг	дүн <acc>
дэнсний	дэнс <gen>
хийлд	хийл <dat>
хальсны	хальс <gen>
өмсгөлийн	өмсгөл <gen>
түгшүүрээ	түгшүүр <voc>
хариуцлагаас	хариуцлага <abl>
магтаалтай	магтаал <com>
тайрдасны	тайрдас <gen>
хөдөлгөөнөө	хөдөлгөөн <voc>
тоолуураа	тоолуур <voc>
тэргүүлэгчийн	тэргүүлэгчид <gen>
хэлэлцэгчээ	хэлэлцэгч <voc>
ханыг	хана <acc>
бүлүүрт	бүлүүр <dat>
хэллэгээ	хэллэг <voc>
эслэгийн	эслэг <gen>
насаар	нас <ins>
гичийтэй	гичий <com>
тоосонд	тоос <dat>
тэсвэрийг	тэсвэр <acc>
теннистэй	теннис <com>
гавалтай	гавал <com>
тактикаас	тактик <abl>
гасланд	гаслан <dat>
шугуйг	шугуй <acc>
эдэд	эд <dat>
бүрэлбаатай	бүрэлбаа <com>
хэрэглэгчийн	хэрэглэгч <gen>
цохиурын	цохиур <gen>
тахлаа	тахал <voc>
хавцалтай	хавцал <com>
талбайг	талбай <acc>
эвлэрүүлэгчийг	эвлэрүүлэгч <acc>
жигнэмгийг	жигнэмэг <acc>
янзыг	янз <acc>
сорилтыг	сорилт <acc>
амьдралаар	амьдрал <ins>
зочинд	зочин <dat>
ташуурт	ташуур <dat>
үйсээс	үйс <abl>
шинэчлэлд	шинэчлэл <dat>
доройтлоо	доройтол <voc>
хадгаламжийг	хадгаламж <acc>
конусаас	конус <abl>
шумуултай	шумуул <com>
үхэлтэй	үхэл <com>
магадлалд	магадлал <dat>
гаригийн	гариг <gen>
хойгийг	хойг <acc>
талийгаачийг	талийгаач <acc>
эрлээр	эрэл <ins>
маажинд	маажин <dat>
дээвэрт	дээвэр <dat>
нийлэмжээс	нийлэмж <abl>
ардчиллаас	ардчилал <abl>
театрын	театр <gen>
шимтгэлээр	шимтгэл <ins>
эгчийг	эгч <acc>
зөвлөгөөний	зөвлөгөө <gen>
бөөлжисний	бөөлжис <gen>
сонгуулиас	сонгууль <abl>
шүүлтүүрийг	шүүлтүүр <acc>
өвгөнийг	өвгөн <acc>
чичиргээнд	чичиргээ <dat>
мэдэгдлээ	мэдэгдэл <voc>
амьжиргааны	амьжиргаа <gen>
олборлолттой	олборлолт <com>
ухуулгаас	ухуулга <abl>
